_id,authors[0],authors[1],authors[2],authors[3],authors[4],authors[5],authors[6],authors[7],authors[8],authors[9],authors[10]
5fbbf98f7395f45c71dcb467,7074585794886776,3218984254188344,5785134142012602,5703995672678985,46430290549419608,29901060748384368,6987779857377552,22850500618628944,706752380358675,4941491924034871,931921580120312
5fce0b544a2828056c24e633,1594876645253569,5704024573141779,,,,,,,,,
5fce0c87dd951e06668446be,5704024573141779,1594876645253569,3744263935195913,,,,,,,,
5fce15b2dd951e497e844715,931921580120312,7586749607939756,4941491924034871,6987779857377552,,,,,,,
5fce1626dd951e608d844733,5703995672678985,6646959471431981,1636225498764312,16052574705793288,4941491924034871,6987779857377552,931921580120312,,,,
5fce16ac2d7b1e08051f3fa7,5344743271618757,9904055984920028,6987779857377552,4941491924034871,931921580120312,,,,,,
5fce17042d7b1e56f91f3fb8,8202410670752336,21571690881345828,6987779857377552,931921580120312,4941491924034871,,,,,,
5fce17802d7b1e1ee31f3fc3,4819572610828424,22850500618628944,7915680989200271,,,,,,,,
5fcf7fc0b21cbd36bd7c2537,22850500618628944,8222911767959207,,,,,,,,,
5fd21dc108a6025025d9a982,7341249337289768,,,,,,,,,,
5fd2292108a6026200d9a9a0,7341249337289768,,,,,,,,,,
5fda35025c98da5d654ca1fc,3386431262754379,38168775611394960,,,,,,,,,
5fe1e32dd1bdb74d9e831cdc,38168775611394960,7074585794886776,,,,,,,,,
5ff4683ff635ba78450e6e14,4351566965428735,,,,,,,,,,
6005bae42391e1d6017ced2f,21675782634030784,4897850104233368,146613086705361,,,,,,,,
6006fbfc813b784fa77f7139,7074585794886776,334000804668509,9366300691646798,,,,,,,,
60182f269a86942c9f658d4b,5980720305717897,,,,,,,,,,
601c0ca11789d23423a8ec93,11350022539553216,,,,,,,,,,
602067517f79aac3c1672231,9952605032979578,,,,,,,,,,
60265c012c78ca4d4e96baff,3585460826348792,,,,,,,,,,
602b8b4431cceb85b893a7d3,35263855878154104,9366300691646798,,,,,,,,,
602bd30dbec10f066b534cca,4555819730293771,,,,,,,,,,
6050a40d26cf73cdee900835,6294413331572171,46430290549419608,,,,,,,,,
60722d8507cf085356a6c436,784632905497971,,,,,,,,,,
60722d9a07cf081f42a6c439,784632905497971,,,,,,,,,,
60956306584e496e036a2e30,7074585794886776,6545332055051722,,,,,,,,,
60b64a1dfcc86850883f3c01,6545332055051722,,,,,,,,,,
60b656b21916ee1a4caaeb9c,6545332055051722,,,,,,,,,,
60b659b11916ee3677aaec06,6545332055051722,,,,,,,,,,
60b65b761916ee9db4aaec33,6545332055051722,,,,,,,,,,
60b65dcf1916ee290faaec7c,6294413331572171,,,,,,,,,,
60b6600e1916eeb511aaec88,7074585794886776,6545332055051722,,,,,,,,,
60b75a58a6034a748f623770,6294413331572171,,,,,,,,,,
60b76352ef60ce3c5e852742,7074585794886776,6294413331572171,,,,,,,,,
60c1d75f3cd6371463bb3c3e,22850500618628944,3412753364447300,6545332055051722,,,,,,,,
60c874bb987061c63715bd86,5996544265974231,,,,,,,,,,
60c87b0f987061729015bdc9,5996544265974231,,,,,,,,,,
60c8d6aeff10d744670abc2c,46430290549419608,,,,,,,,,,
60cc7817bb065246768171f9,5996544265974231,,,,,,,,,,
60e57bd2ecfb13d25b9022a8,6294413331572171,,,,,,,,,,
60e57ebbecfb13b7f19022ee,7074585794886776,6294413331572171,,,,,,,,,
60e58393ecfb139adf90233e,6294413331572171,,,,,,,,,,
60e585d3ecfb1370c9902380,7074585794886776,6294413331572171,,,,,,,,,
60e58b69ecfb130c2e902794,7074585794886776,6294413331572171,,,,,,,,,
60eda6f153200f1677ed8257,8487606794930798,,,,,,,,,,
610d5157a238c84e3bd1391f,6613976698857407,,,,,,,,,,
6123a943d53467ee1adfca6f,6545332055051722,22850500618628944,14329207635436504,26626256228951916,6522778556424882,5052049998766039,70510517626247,,,,
612e43179ea336705cd3e178,3701095445533018,,,,,,,,,,
613872b63bdfdc75e9c55082,5050276793730464,,,,,,,,,,
616edbcd2a9909f8e7a0e3ca,14775174840440552,3184321035534903,362013391401508,648217426752502,,,,,,,
6185125cfa16bf88db2273b2,3218984254188344,19650688161785944,6987779857377552,29901060748384368,22921974741436512,8446327808899865,28798483626959604,,,,
