mongo_pid,physical_samples
bdda7221-7c02-4ced-b7a8-3806a073d981,IN PROGRESS
425f4534-51c4-4f75-8ca0-d7c731dbd903,IN PROGRESS
5f4c825d-d6c3-453e-9667-8cdf2329b6e1,IN PROGRESS
85113a93-89ed-40e3-a479-33b461b91858,IN PROGRESS
ff875c08-58e6-4e33-8ffe-6f51c8364333,IN PROGRESS
6ac9b356-00f1-49da-825a-6eb04d18e49d,TISSUE;WHOLE BLOOD
12288034-00a4-47a8-a779-1cf7a55270e4,IN PROGRESS
33b1a989-5f61-412e-bdae-b551c92d1ed6,TISSUE
35985f8e-f01a-41cc-a9e2-30299d3d6eed,PLASMA;SERUM;TISSUE
20639743-9a28-43dd-a8af-7571ece2a7f8,TISSUE
ce533c67-5565-4010-bedf-dca3863a9084,TISSUE
3e5fb54a-84ec-4888-9a72-4093c6e90dbc,IN PROGRESS
636e216a-072b-4c8b-b867-23b7666d2cb2,PERIPHERAL BLOOD CELLS;PLASMA;SALIVA;SERUM;TISSUE;WHOLE BLOOD
d0694e15-b6ba-4a95-962a-dbf627ca207c,PERIPHERAL BLOOD CELLS;PLASMA;RNA;SERUM;WHOLE BLOOD
89e2d798-c488-4eaf-a50f-a93616093304,DNA;IMMORTALIZED CELL LINES
38fe1a10-ebf9-4dc1-8c35-2e7b33b1f6b5,IN PROGRESS
c9f82f86-79e1-4067-932f-5e6dc939006d,PERIPHERAL BLOOD CELLS;PLASMA;SERUM
b5533cb5-0c59-495b-9b11-3c401daeb958,PLASMA
e0b951ba-0f7d-4743-9374-b965042accdd,DNA;PLASMA;SERUM
a1d16f3f-c7e7-41c5-a071-07889bf49ab1,IN PROGRESS
029b7f0f-911e-46ce-837f-031959f067da,PERIPHERAL BLOOD CELLS;PLASMA;SERUM;TISSUE;URINE;WHOLE BLOOD
786563e9-5377-4d18-8d32-65ff14d53987,PERIPHERAL BLOOD CELLS;PLASMA;PRIMARY CELLS;SERUM;TISSUE;WHOLE BLOOD
e57dd7a2-3c5c-4285-8001-8e2589c395e9,TISSUE
37886fb5-d0ae-400f-89eb-78664897bcf2,DNA;PLASMA;RNA;SERUM;TISSUE;WHOLE BLOOD
e46dccbf-484d-45d2-a42a-4d308b87c113,IN PROGRESS
71e898d1-db8c-4887-a605-dd6336b92a34,TISSUE
c8cd0645-b728-4c62-84b8-036c1d8763be,PLASMA;SERUM;WHOLE BLOOD
5ef75d71-73ce-4451-9d7a-a39dd82b712f,TISSUE
5618f65d-23fc-4bd5-9a4c-73e4b330c3a6,IN PROGRESS
bbcdc352-e0f7-4672-93a7-134bcf5001b1,IN PROGRESS
351cc017-caff-4303-8a48-1aa1b90fce2b,DNA;PLASMA;SERUM;URINE;WHOLE BLOOD
6f1b9a4e-2367-47f1-a985-3ed9bf3a7211,TISSUE
8cbb73e2-a2c4-4caf-8dcd-6ac3795bb996,DNA;PLASMA;SERUM;WHOLE BLOOD
c1fa9b47-a954-4587-a0c2-bae0f3ec2b9b,DNA;PLASMA;SERUM;WHOLE BLOOD
529f126b-660c-4c31-aeb2-765dac1d9df0,SERUM
596077a9-298b-44cc-aa7a-81f04cf5dcb3,SERUM
43636f80-27fd-43d0-8556-d0a2de0cd819,DNA
fe610510-fe78-461e-9c73-54dae67cade4,DNA;PLASMA;SERUM
8ca5cc9c-bb4e-4fa4-b430-165720cd9634,DNA;PLASMA;SERUM
8ca05f55-af73-42bd-b682-851c2c54a6cc,WHOLE BLOOD
19b4cd38-3828-4bb1-a980-4f7420658965,CORE BIOPSY;DNA;FAECES;IMMORTALIZED CELL LINES;PERIPHERAL BLOOD CELLS;PLASMA;RNA;SALIVA;SERUM;SWABS;TISSUE;URINE;WHOLE BLOOD;OTHER
fe1684ef-69ee-4490-9ab8-b26e990c9060,URINE;WHOLE BLOOD;DNA;PLASMA;SERUM
98bfe17f-be12-47b1-943a-2d3a621b7618,PLASMA;SERUM;DNA;AVAILABILITY TO BE CONFIRMED
c2ced850-e75c-4428-8cc2-5338c34d138a,AVAILABILITY TO BE CONFIRMED
d602ca39-b287-4047-81c1-d635d3ceed5a,AVAILABILITY TO BE CONFIRMED
5345e2b8-13f3-41ce-9f56-87aaa9f3f55e,OTHER
335905f0-4b94-451e-96f1-5b44f45ea923,AVAILABILITY TO BE CONFIRMED
c0e3e61c-000c-43bb-9dd1-55698198a8b6,DNA;AVAILABILITY TO BE CONFIRMED
cd8f4e44-0228-4abd-9286-0509afe9427e,AVAILABILITY TO BE CONFIRMED
985be746-2350-40aa-9dd3-14c2e452765b,SERUM;PLASMA;PERIPHERAL BLOOD CELLS
a2017e30-5257-40ec-8bae-9b221724121e,DNA;IMMORTALIZED CELL LINES;SERUM;PLASMA
f6bbe978-f223-4f2f-8ff4-06cd281e18fd,DNA;SERUM;PLASMA;OTHER
